Street Name,score
Park Avenue,90.7
Hancock Place,89.7
Malcolm X Boulevard,87.5
West 123rd St,86.2
East 123rd St,85.0
West 129th St,84.0
5th Avenue,83.3
West 126th St,82.2
Lexington Avenue,81.8
West 127th St,81.2
2nd Avenue,81.0
3rd Avenue,81.0
East 127th St,80.1
West 121st St,80.0
West 122nd St,80.0
East 130th St,80.0
East 122nd St,80.0
East 120th St,80.0
Madison Avenue,78.9
East 121st St,78.0
East 129th St,78.0
East 126th St,78.0
West 124th St,71.2
West 130th St,71.0
Adam Clayton Powell Jr. Boulevard,70.5
West 128th St,70.2
West 120th St,70.0
East 128th St,69.1
                   East 124th St,65.2
East 125th St,62.5
1st Avenue,62.0
West 125th St,49.5
