Company Name,Street Name,Address,score
Eastside Floor Supplies Pro Shop & Warehouse,Park Avenue,1785 Park Avenue,115.7
Corner Social,Malcolm X Boulevard,321 Malcolm X Boulevard,92.5
Jacob Soul Food Restaurant,Malcolm X Boulevard,373 Malcolm X Boulevard,92.5
Barawine,Malcolm X Boulevard,200 Malcolm X Boulevard,92.5
Sylvia's,Malcolm X Boulevard,328 Malcolm X Boulevard,91.5
Maysles Documentary Center,Malcolm X Boulevard,343 Malcolm X Boulevard,81.5
Harlem Business Alliance,Malcolm X Boulevard,275 Malcolm X Boulevard Ground Floor,80.5
Express Deli,Malcolm X Boulevard,393 Malcolm X Boulevard,79.5
KR3TS Dance Company,East 126th St,208 E 126th St,79.0
Mt Morris Plaza Senior Housing,West 124th St,63 W 124th St,76.2
Pioneer Supermarket,Malcolm X Boulevard,380 Malcolm X Boulevard,72.5
FoodTown,3rd Avenue,2231 3rd Avenue,71.0
Taco Hut,Park Avenue,1884 Park Avenue,69.7
4West Lounge,West 127th St,303 W 127th St,69.2
City Fresh Market,3rd Avenue,2212 3rd Avenue ,69.0
Food Bazaar,East 125th St,201 E 125th St,65.5
Harlem Library,West 124th St,9 W 124th St,61.2
Harlem Finest Deli,Madison Avenue,1966 Madison Avenue,60.900000000000006
Trader Joe's,West 125th St,123 W 125th St,58.5
Chick-fil-A,West 125th St,216 W 125th St,57.5
East Harlem Council-Imprvmnt,East 120th St,413 E 120th St,57.0
Mattress Firm,West 125th St,166 W 125th St,56.5
Heyground Harlem by Communitas,West 126th St,461 W 126th St #5W,55.2
Future Leader's Institute,West 122nd St,134 W 122nd St,55.0
Harlem Haberdashery,Malcolm X Boulevard,245 Malcolm X Boulevard,54.5
AJOY,West 129th St,42 W 129th St,54.0
Olive Deli ,Lexington Avenue,2032 Lexington Avenue,52.8
Salem United Methodist Church,Adam Clayton Powell Jr. Boulevard,2190 Adam Clayton Powell Jr Boulevard,52.5
Harlem Children's Zone - Promise Academy,West 129th St,245 W 129th St,50.0
G&G Electric Supply,3rd Avenue,2239 3rd Avenue,48.0
Apollo Theater,West 125th St,253 W 125th St,46.5
Apple Bank,East 125th St,169 E 125th St,45.5
Charlie's Place,Madison Avenue,1960 Madison Avenue,44.900000000000006
Lexington Wine & Liquor,Lexington Avenue,2010 Lexington Avenue,43.8
Raising Cane's Chicken Fingers,West 125th St,124 W 125th St,43.5
