Street Name,score
Malcolm X Boulevard,107.5
Park Avenue,105.7
Madison Avenue,98.9
5th Avenue,98.3
Lexington Avenue,96.8
3rd Avenue,96.0
2nd Avenue,96.0
Adam Clayton Powell Jr. Boulevard,90.5
West 123rd St,89.2
Morningside Avenue,88.7
East 123rd St,88.0
West 126th St,87.2
East 127th St,87.1
West 129th St,87.0
East 120th St,87.0
East 130th St,87.0
East 122nd St,87.0
East 126th St,85.0
West 127th St,84.2
East 121st St,83.0
West 121st St,81.0
West 122nd St,81.0
East 129th St,81.0
Frederick Douglass Boulevard,79.0
West 124th St,76.2
Mt Moriss Park W,75.5
East 128th St,74.1
West 128th St,73.2
West 130th St,72.0
West 120th St,71.0
East 124th St,70.2
1st Avenue,69.0
East 125th St,67.5
Lenox Avenue,58.5
West 125th St,58.5
9th Avenue,57.0
